FIRST,LAST,ID,BATS,TEAM,YEAR,AGE,AgeDiff,Tm,Lg,Lev,Aff,G,PA,AB,R,H,_2B,_3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BB_Percent,K_percent,BB_K,HR_Percent,IOS
Taylor,Featherston,feathe000tay,Right,,2015,25,-1.7,Salt Lake,PCL,AAA,LAA,7,32,29,4,5,1,1,0,1,0,0,2,8,.172,.219,.276,.495,8,2,0,0,1,0,6.250,25.000,25.000,0.000,0.104
Taylor,Featherston,feathe000tay,Right,,2015-16,25,-1.1,Licey,DOWL,FgW,,10,38,37,2,8,2,2,0,5,1,1,0,6,.216,.216,.378,.595,14,0,0,1,0,0,0.000,15.789,0.000,0.000,0.162
Taylor,Featherston,feathe000tay,Right,,2016,26,-2.2,PHI,NL,MLB,PHI,19,28,26,2,3,1,0,0,1,2,0,2,11,.115,.179,.154,.332,4,0,0,0,0,0,7.143,39.286,18.182,0.000,0.039
Taylor,Featherston,feathe000tay,Right,,2016,26,-0.5,Lehigh Valley,IL,AAA,PHI,99,439,402,56,102,23,4,13,37,6,3,25,98,.254,.311,.428,.738,172,4,9,1,2,1,5.695,22.323,25.510,2.961,0.174
Taylor,Featherston,feathe000tay,Right,,2017,27,,,,AAA,PHI-TBR,77,291,257,34,61,13,0,7,35,8,0,28,92,.237,.316,.370,.686,95,3,3,0,3,0,9.622,31.615,30.435,2.405,0.133
Taylor,Featherston,feathe000tay,Right,,2017,27,-1.6,TBR,AL,MLB,TBR,17,47,39,6,7,1,0,2,6,1,0,5,15,.179,.277,.359,.636,14,1,1,0,2,0,10.638,31.915,33.333,4.255,0.180
Taylor,Featherston,feathe000tay,Right,,2017,27,0.3,Lehigh Valley,IL,AAA,PHI,46,162,137,22,37,8,0,3,20,6,0,21,34,.270,.370,.394,.765,54,2,2,0,2,0,12.963,20.988,61.765,1.852,0.124
Taylor,Featherston,feathe000tay,Right,,2017,27,0.3,Durham,IL,AAA,TBR,31,129,120,12,24,5,0,4,15,2,0,7,58,.200,.248,.342,.590,41,1,1,0,1,0,5.426,44.961,12.069,3.101,0.142
Taylor,Featherston,feathe000tay,Right,,2018,28,,,,AAA-AA,MIN-CIN,91,358,315,27,62,6,6,7,36,9,1,28,120,.197,.275,.321,.596,101,6,8,2,5,0,7.821,33.520,23.333,1.955,0.124
Taylor,Featherston,feathe000tay,Right,,2018,28,1.5,Rochester,IL,AAA,MIN,55,213,180,17,30,4,2,4,21,7,1,20,70,.167,.270,.278,.548,50,4,7,2,4,0,9.390,32.864,28.571,1.878,0.111
Taylor,Featherston,feathe000tay,Right,,2018,28,4.1,Pensacola,SOUL,AA,CIN,36,145,135,10,32,2,4,3,15,2,0,8,50,.237,.283,.378,.661,51,2,1,0,1,0,5.517,34.483,16.000,2.069,0.141
