Bats,Age,PA,BA,OBP,SLG,BB%,K%,BB/K,HR%,Lev,Aff,First,Last,ID
Left,26,226,.294,.364,.343,10.177,22.566,45.098,0.000,AA-Rk,ARI,Jay,Gonzalez,gonzal001jay
Right,25,267,.219,.298,.329,8.614,20.225,42.593,1.498,AA-AAA,LAD-CIN,Tyler,Goeddel,goedde000tyl
,,,,,,,,,,,,Arian,Castro,
,,,,,,,,,,,,Axel,Alexio,
,,,,,,,,,,,,Ben,De la rosa,
,,,,,,,,,,,,Bengamin,Alegria,
,,,,,,,,,,,,Brandon,Wikoff,
,,,,,,,,,,,,Bray,Minder,
,,,,,,,,,,,,Cesar,Martinez,
,,,,,,,,,,,,Deivi,Alcantara,
,,,,,,,,,,,,Douglas,Peterson,
,,,,,,,,,,,,Edwards,Guzman,
,,,,,,,,,,,,Elly,De la cruz,
,,,,,,,,,,,,Emillio,Garcia,
,,,,,,,,,,,,Ernesto,Liberators,
,,,,,,,,,,,,Esmil,Torres,
,,,,,,,,,,,,Felix,Abreast,
,,,,,,,,,,,,Francis,Ancona,
,,,,,,,,,,,,Fraudy,Rodriguez,
,,,,,,,,,,,,Fraudys,Jiminez,
,,,,,,,,,,,,Hendrix,Clementina,
,,,,,,,,,,,,James,Marshall,
,,,,,,,,,,,,Jamie,Quercuto,
,,,,,,,,,,,,Jeferson,Geraldo,
,,,,,,,,,,,,Jordan,Cannon,
,,,,,,,,,,,,Jose,Barrero,
,,,,,,,,,,,,Junior,Tamares,
,,,,,,,,,,,,Linares,Linarez,
,,,,,,,,,,,,Livin,Fernandez,
,,,,,,,,,,,,Michael,Spooner,
,,,,,,,,,,,,Ranger,Amador,
,,,,,,,,,,,,Ruben,Nunez,
,,,,,,,,,,,,Thomas,Lora,
,,,,,,,,,,,,Wilmer,Alcantara,
